baseline4 2934393
LOSE 0.0 1998.6692307692306
WIN 1227.5 772.5
WIN 1998.0 0.0
LOSE 0.0 2000.0
WIN 1666.844242424242 331.5942424242422
LOSE 0.0 2000.0
LOSE 0.0 1999.2589063660735
LOSE 0.0 1999.330497873405
WIN 1970.0 28.901857707509862
WIN 1570.7248484848485 428.24484848484855
LOSE 0.0 2000.0
LOSE 0.0 1998.2706898710403
WIN 1760.0 240.0
WIN 2000.0 0.0
WIN 1033.0 963.4673358742998
WIN 1940.0 58.71981831533739
WIN 2000.0 0.0
LOSE 0.0 2000.0
LOSE 10.0 1990.0
WIN 2000.0 0.0
baseline4 2934394
WIN 1000.0 998.1
WIN 2000.0 0.0
WIN 2000.0 0.0
WIN 1845.0 150.98218379446712
LOSE 0.0 2000.0
WIN 1918.6544824106002 80.3344824106004
LOSE 0.0 1999.0
LOSE 0.0 1998.2850410145659
LOSE 0.0 1992.816325356954
WIN 2000.0 0.0
LOSE 77.0 1921.0
LOSE 94.0 1904.0
LOSE 0.0 1998.8600000000001
WIN 2000.0 0.0
WIN 1900.0 97.80335792350745
WIN 2000.0 0.0
LOSE 0.0 1999.0
LOSE 0.0 2000.0
WIN 1980.0 19.877615865015855
WIN 1993.0 0.0
baseline4 2934396
LOSE 0.0 1999.2411067193677
WIN 2000.0 0.0
WIN 1999.0 0.0
WIN 1999.0 0.0
WIN 1808.3826267806933 190.71936313969388
WIN 1155.0 845.0
WIN 1897.0 101.23588703528617
WIN 1171.5 827.3893280632411
LOSE 0.0 1999.54
LOSE 0.0 1996.125894752289
WIN 1882.0 115.87745006533481
WIN 1109.25 889.27
LOSE 0.0 1996.5959404688865
WIN 1805.0 193.39630238481118
WIN 1779.0 218.7049999999997
WIN 1819.0 176.6655754954494
WIN 1786.0 212.20999999999992
WIN 1134.28 865.28
WIN 1999.0 0.0
WIN 1615.0 385.0
baseline4 2934398
LOSE 0.0 2000.0
WIN 1792.9909139807207 206.26262288143315
LOSE 0.0 1998.12
LOSE 0.0 1998.8403465501092
WIN 2000.0 0.0
LOSE 0.0 2000.0
LOSE 0.0 2000.0
LOSE 0.0 2000.0
WIN 1202.1650682335103 795.9449772554965
WIN 2000.0 0.0
LOSE 0.0 1997.9423725166391
WIN 1000.0 995.13
WIN 1486.6084314735485 511.57768629470957
WIN 2000.0 0.0
LOSE 0.0 1999.0
WIN 1984.0 15.065000000000055
WIN 2000.0 0.0
LOSE 0.0 2000.0
LOSE 0.0 1999.54
LOSE 0.0 1997.62

