baseline5 2355455
WIN 1098.0317877530185 898.720866930437
WIN 1059.0 939.5
WIN 1076.2499999999998 922.5
WIN 1114.25 884.5584888484302
WIN 1035.009842967681 962.3379608557128
WIN 1132.75 865.0
LOSE 0.0 1998.75
WIN 1065.0 935.0
WIN 1129.25 869.75
LOSE 0.0 1999.0
WIN 1134.25 865.0
WIN 1997.0 0.0
WIN 1233.1215293582147 764.0974055530264
LOSE 993.2818377153146 1003.0308136251783
LOSE 889.5726913111756 1108.2964484248296
WIN 1075.0 925.0
WIN 1048.1289746911466 948.7420506177069
LOSE 835.0 1165.0
WIN 1070.9791666666665 926.6666666666666
LOSE 0.0 1997.5
baseline5 2355457
WIN 1064.25 935.0
LOSE 0.0 1997.1250000000011
WIN 1125.0 875.0
WIN 1155.0 845.0
WIN 1051.9166666666665 946.6666666666666
LOSE 935.0 1065.0
WIN 1078.875 919.625
WIN 1091.5 907.5
WIN 1039.25 960
WIN 1110.0 890.0
WIN 1125.0 875.0
WIN 1059.5 940
WIN 1997.0 0.0
LOSE 0.0 1997.8333333333333
LOSE 0.0 2000.0
LOSE 0.0 1997.2410673645886
LOSE 9.0 1990.0
LOSE 0.0 2000.0
LOSE 780.0 1220.0
WIN 1997.0 0.0
baseline5 2355459
LOSE 0.0 2000.0
WIN 1057.75 940.0
LOSE 948.3125 1049.0
LOSE 942.6094300862123 1053.2811398275753
LOSE 937.1642613508548 1059.4630378924608
LOSE 0.0 2000.0
LOSE 6.0 1989.0
WIN 1155.0 845.0
LOSE 0.0 1994.79296875
LOSE 0.0 1996.1498634501609
WIN 1056.63916015625 937.54638671875
LOSE 841.8125 1154.6875
WIN 1999.0 0.0
WIN 1086.569526627219 912.4304733727811
LOSE 8.0 1986.0
LOSE 0.0 2000.0
WIN 1109.1666666666665 889.1666666666666
LOSE 976.6784251251715 1021.1784251251713
WIN 1027.1666666666665 972.5
LOSE 0.0 2000.0
baseline5 2355462
WIN 1142.5 857.5
LOSE 0.0 2000.0
LOSE 874.4999999999998 1124.8333333333333
WIN 1109.25 889.75
WIN 1083.875 915.0
LOSE 0.0 1995.9323509330923
LOSE 8.0 1990.0
WIN 1086.6666666666665 911.6666666666666
WIN 1073.4023668639056 924.2642998027613
WIN 1997.0 0.0
LOSE 9.0 1986.0
LOSE 16.0 1981.0
LOSE 722.5384615384615 1276.5384615384614
WIN 1000.0 998.8593976786747
LOSE 19.0 1980.0
LOSE 0.0 2000.0
WIN 1027.4375 969.625
LOSE 0.0 1998.75
LOSE 0.0 2000.0
LOSE 9.0 1990

